bioj:a2000-04-MOL_ECOL,bioj:a2000-04-MOL_ECOL-C01-mention,FST was used to describe the variation among populations and was calculated using biosys (Swofford & Selander 1981).,BIOSYS
bioj:a2000-08-CELL_RES,bioj:a2000-08-CELL_RES-C01-mention,"The banding pattern was visualized by autoradiography for 12 h and analyzed by Gelworks 1D advanced software in Shanghai Institute of Biochemistry, Chinese Academy of Sciences.",Gelworks 1D Advanced
bioj:a2000-08-CELL_RES,bioj:a2000-08-CELL_RES-C02-mention,"The gel was then stained with SYBR Green-I (FMC Bioproducts) for 15 min, visualized by UVP system and analyzed by Gelworks 1D advanced software.",Gelworks 1D Advanced
bioj:a2000-22-AM_J_BOT,bioj:a2002-22-AM_J_BOT_B01-mention,"We used Detrended Correspondence Analysis in PC-ORD (McCune, 1993) to depict multivariate changes in dominance of species neighborhoods for each focal species in recently burned and long-unburned sites.",PC-ORD
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C01-mention,The molecule is rich in proline residues (13%) and analysis of its amino acid sequence with PONDR [21] indicates that in the absence of other viral components at least the N-terminal half of the subunit would be disordered.,PONDR
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C02-mention,"deviation of 2.9A as determined with program SHP [22] ), although there is no sequence similarity between them.",SHP
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C03-mention,PREDATOR,PREDATOR
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C04-mention,TMHMM,TMHMM
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C05-mention,"Secondary structure elements of our P16 model (red), secondary structure prediction (PREDATOR [49], green) and transmembrane helix prediction (TMHMM [47], brown), aligned with the amino acid sequence (amino acids visible in the electron density are in red).","PREDATOR,TMHMM"
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C07-mention,"*R-factor=[FORMULA DID NOT COPY] where h are the unique reflection indices, Fo are the observed structure factors and Fc are the structure factors obtained from inversion of the solvent-flattened map (SHELLSCALE; D.I.S., unpublished program).",SHELLSCALE
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C08-mention,"†Correlation coefficient =[FORMULA DID NOT COPY] where h are the unique reflection indices, Fo are the observed structure factors and Fc are the structure factors obtained from inversion of the solvent-flattened map (SHELLSCALE; D.I.S., unpublished program)",SHELLSCALE
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C09-mention,"Although postulated to have an analogous function [31], polypeptide IIIa is larger than expected for a P30 homologue and is a less attractive candidate than polypeptide VIII, which is proline-rich, is almost exactly the expected length (110 residues) and possesses an N-terminal sequence that PONDR [21] predicts to be disordered.",PONDR
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C10-mention,"Data were analysed with DENZO [41] and the resolution limit was determined with TRIM_DENZO (D.I.S., unpublished program).","DENZO,TRIM_DENZO"
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C12-mention,Data were scaled with a special version of SCALEPACK [41].,SCALEPACK
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C13-mention,"For the native data and SeMet data, reflections with fractional partialities of 0.7 or more and 0.5, respectively, were scaled to full intensity and incorporated into the data set as fully recorded reflections (program POST: D.I.S.",POST
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C14-mention,Intensities were converted to structure factor amplitudes with TRUNCATE [42].,TRUNCATE
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C15-mention,The position and orientation of this model were refined against the experimental data using X-PLOR 3.1 (ref.,X-PLOR
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C16-mention,"A 2Fo - Fc map was calculated for each cell type (to 4.2A resolution) with the corresponding model phases, which were then refined by iterative solvent flattening and 60-fold averaging; Fc was calculated from the starting model or from Fourier transformation of the modified map (see Table 2) (program GAP; D.I.S.",GAP
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C17-mention,"and J.M.G., unpublished program, and CCP4 programs [42]).",CCP4
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C18-mention,"The SeMet and native cell 1 data were scaled in resolution shells with the use of SHELLSCALE (D.I.S., unpublished program).",SHELLSCALE
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C19-mention,The P3 N- and C-terminal regions were built into the averaged map of cell 2 by using O [46].,O
bioj:a2004-46-NATURE,bioj:a2004-46-NATURE-C20-mention,Analysing the relative positions of methionine residues and predicted transmembrane helices (program TMHMM [47]),TMHMM
